year,mean_days,burned_ratio,mean_intensity,mean_aerosol,fips,name,n_hospital_beds_2017,n_hospitals_2017,n_active_mds_2017,n_medicare_bene_2017,n_medicare_eligible_2018,p_poverty,n_pop_2018,p65older,p5younger,p_nonwhite,p_white,ed_rate
2015,1.173792955,0.007672156,3910.68663,161.6919726,06035,Lassen,25,1,23,4494,5565,10.124185733080898,30802,15.151613531588858,9.697422245308744,33.325758067657944,66.67424193234206,45.3
2016,1.015278711,0.004917357,768.3646743,144.5369373,06035,Lassen,25,1,23,4494,5565,10.124185733080898,30802,15.151613531588858,9.697422245308744,33.325758067657944,66.67424193234206,40.7
2017,1.035232073,0.009967088,1395.124458,155.3729922,06035,Lassen,25,1,23,4494,5565,10.124185733080898,30802,15.151613531588858,9.697422245308744,33.325758067657944,66.67424193234206,44
2018,1.452054795,0.010245871,1618.698059,195.9304447,06035,Lassen,25,1,23,4494,5565,10.124185733080898,30802,15.151613531588858,9.697422245308744,33.325758067657944,66.67424193234206,37.9
2019,1.044819404,0.003131554,484.9400211,129.5685247,06035,Lassen,25,1,23,4494,5565,10.124185733080898,30802,15.151613531588858,9.697422245308744,33.325758067657944,66.67424193234206,35.2
2020,1.387845165,0.046084677,1315.87677,183.9895683,06035,Lassen,25,1,23,4494,5565,10.124185733080898,30802,15.151613531588858,9.697422245308744,33.325758067657944,66.67424193234206,NA
2015,1,0.001678348,1374.25,144.9107396,06037,Los Angeles,24393,103,30155,577330,1530126,16.613409131316583,10105518,13.615897769911449,11.956368787824632,72.81624751942454,27.183752480575464,53.1
2016,1.472067039,0.025035356,6768.625,158.2426914,06037,Los Angeles,24393,103,30155,577330,1530126,16.613409131316583,10105518,13.615897769911449,11.956368787824632,72.81624751942454,27.183752480575464,51.5
2017,1.190184049,0.01139878,1149.960123,149.9302262,06037,Los Angeles,24393,103,30155,577330,1530126,16.613409131316583,10105518,13.615897769911449,11.956368787824632,72.81624751942454,27.183752480575464,50
2018,1.083881079,0.02257186,3624.408122,151.3102047,06037,Los Angeles,24393,103,30155,577330,1530126,16.613409131316583,10105518,13.615897769911449,11.956368787824632,72.81624751942454,27.183752480575464,47.1
2019,1.030819434,0.009076242,798.8088289,144.8967528,06037,Los Angeles,24393,103,30155,577330,1530126,16.613409131316583,10105518,13.615897769911449,11.956368787824632,72.81624751942454,27.183752480575464,47.1
2020,2.23928054,0.063031014,2287.064959,174.1835865,06037,Los Angeles,24393,103,30155,577330,1530126,16.613409131316583,10105518,13.615897769911449,11.956368787824632,72.81624751942454,27.183752480575464,NA
2015,1.27756845,0.036081418,1033.24634,162.8408812,06039,Madera,464,2,168,13727,25950,20.55197909363248,157672,13.98536201735248,15.274747577248972,65.49038510325232,34.50961489674768,62.3
2016,1.110272977,0.019544932,260.2960244,150.7822564,06039,Madera,464,2,168,13727,25950,20.55197909363248,157672,13.98536201735248,15.274747577248972,65.49038510325232,34.50961489674768,60.2
2017,1.582848237,0.051018515,474.6015414,168.7375477,06039,Madera,464,2,168,13727,25950,20.55197909363248,157672,13.98536201735248,15.274747577248972,65.49038510325232,34.50961489674768,61.7
2018,2.112303779,0.043572021,454.9774824,190.7867998,06039,Madera,464,2,168,13727,25950,20.55197909363248,157672,13.98536201735248,15.274747577248972,65.49038510325232,34.50961489674768,50.9
2019,1.020085066,0.015342533,226.023275,130.7970282,06039,Madera,464,2,168,13727,25950,20.55197909363248,157672,13.98536201735248,15.274747577248972,65.49038510325232,34.50961489674768,49.1
2020,2.848641182,0.16903856,1856.557616,295.2993875,06039,Madera,464,2,168,13727,25950,20.55197909363248,157672,13.98536201735248,15.274747577248972,65.49038510325232,34.50961489674768,NA
2015,0,0,0,136.8186171,06041,Marin,451,4,1513,29286,60940,7.861508689237608,259666,22.31443469687984,9.872682599955327,26.87105743532076,73.12894256467925,22.2
2016,1,4e-4,96,137.8179816,06041,Marin,451,4,1513,29286,60940,7.861508689237608,259666,22.31443469687984,9.872682599955327,26.87105743532076,73.12894256467925,23.1
2017,0,0,0,173.547074,06041,Marin,451,4,1513,29286,60940,7.861508689237608,259666,22.31443469687984,9.872682599955327,26.87105743532076,73.12894256467925,23.5
2018,1,0.001601897,114,180.4260918,06041,Marin,451,4,1513,29286,60940,7.861508689237608,259666,22.31443469687984,9.872682599955327,26.87105743532076,73.12894256467925,24.3
2019,0,0,0,146.5491962,06041,Marin,451,4,1513,29286,60940,7.861508689237608,259666,22.31443469687984,9.872682599955327,26.87105743532076,73.12894256467925,22.6
