year,mean_days,burned_ratio,mean_intensity,mean_aerosol,upd_geoid
2019,1.19716141,0.006941904,746.9703116,143.2365637,06065
2020,1.217702363,0.013397948,1410.168031,160.9684514,06065
2010,1.044293903,0.007520761,202.4832378,146.8631172,06067
2011,1,0.004101996,237.8961783,148.2098224,06067
2012,1.043023452,0.007742844,148.8432597,139.1268989,06067
2013,1,0.016200271,190.6636952,138.9750733,06067
2014,1,0.003984423,214.3396721,147.3338793,06067
2015,1.033255086,0.010017231,389.095201,154.6696606,06067
2016,1,0.006794421,154.018458,147.5956869,06067
2017,1.008117777,0.009494684,159.2634838,160.4519662,06067
2018,1.137103336,0.016055265,313.3102455,206.2048902,06067
2019,1,0.006441701,181.1750152,142.2683613,06067
2020,1.058152794,0.017185273,458.5326872,223.3249257,06067
2010,1,4.77e-4,96.5,118.0474862,06069
2011,1,5.97e-4,85.60188088,121.0205761,06069
2012,1,7.28e-4,121.9305913,118.7249745,06069
2013,1.147058824,0.008108411,1327,116.650264,06069
2014,1,0.00357724,259.3333333,126.8887092,06069
2015,1,0.005783439,1523.58069,127.0508571,06069
2016,1,9.54e-4,105,151.7099275,06069
2017,1,5.33e-5,176,129.5000184,06069
2018,1.166051661,0.017234349,997.0304971,128.1619495,06069
2019,1.10312886,0.004543329,436.0077192,121.2845334,06069
2020,1,0.006915998,2368.724138,177.2600486,06069
2010,1.476116384,3.99e-4,184.3264872,137.2227928,06071
2011,1.204392433,8.06e-4,831.5154497,145.2598236,06071
2012,1.461415647,5.91e-4,1534.034114,141.8074887,06071
2013,1.670064609,0.001334041,920.372302,148.7683004,06071
2014,1.886363636,7.09e-4,1533.82337,141.8852123,06071
2015,1.974847647,0.004565277,2629.49191,148.2673424,06071
2016,1.265269728,0.004332725,1867.198449,151.7810299,06071
2017,1.32800441,0.001038729,975.9332966,146.9225076,06071
2018,1.414095486,7.8e-4,879.3606893,157.5967109,06071
2019,1.273551785,6.63e-4,251.9912229,146.804378,06071
2020,1.861928141,0.007263673,2029.923879,166.0685392,06071
2010,1.05957248,0.004915299,866.792314,133.4777322,06073
2011,1.128787879,0.009662945,574.9936869,135.6051291,06073
2012,1.146731625,0.022450415,1092.694626,133.1324187,06073
2013,1.142857143,0.006149147,1279.607143,134.9781181,06073
2014,1,0.01434801,2929.040816,130.8140566,06073
2015,1.209742277,0.003141175,521.247304,129.3770496,06073
2016,1.24832146,0.005601121,1019.730844,132.9282506,06073
2017,1.051408699,0.005695855,984.3071418,133.5558969,06073
2018,1.089469297,0.004132732,645.4342873,133.4913539,06073
2019,1.142511177,0.001541019,168.8366244,127.65327,06073
2020,1.052774544,0.011096885,2238.033799,144.0873966,06073
2010,0,0,0,161.8723179,06075
2011,0,0,0,147.3717187,06075
2012,0,0,0,143.1479659,06075
2013,0,0,0,132.1765376,06075
2014,0,0,0,137.245736,06075
2015,0,0,0,135.3916437,06075
2016,0,0,0,137.4490711,06075
2017,0,0,0,160.9891721,06075
2018,0,0,0,167.7868363,06075
2019,0,0,0,152.5151152,06075
2020,1,3.6e-4,143.5,168.9816383,06075
2010,1.331253814,0.013446177,170.5299213,137.2670432,06077
2011,1.042938931,0.016244462,171.1915132,139.8462014,06077
2012,1.082264699,0.011305292,140.1457376,131.3573359,06077
2013,1.202497022,0.020667558,297.2150042,133.604984,06077
2014,1.079765396,0.023319046,185.4354643,137.4001982,06077
2015,1.206123068,0.018047984,209.8058,143.5375568,06077
2016,1.112653834,0.014447323,121.8778006,138.649484,06077
2017,1.131249094,0.044009399,203.6511281,151.2334038,06077
2018,1.153177696,0.026441017,174.7145419,189.9110617,06077
2019,1.119604371,0.044802657,185.4381627,132.1963088,06077
2020,1.336264338,0.059935646,923.3784064,215.2610932,06077
2010,1,0.002292507,528.16,145.1541537,06079
2011,1,0.001558905,217.6470588,143.992628,06079
2012,1.018311073,0.005007915,614.9378501,132.297508,06079
2013,1.032671365,0.002806748,264.9881486,131.4383147,06079
2014,1,0.001192104,180.4615385,138.0219708,06079
2015,1.216216216,0.003392911,1589.13514,142.3042893,06079
2016,1.673477784,0.026222689,1559.555793,159.3281672,06079
2017,1.029609143,0.008841707,1384.392667,151.0700202,06079
2018,1,0.004493315,150.0408163,143.9754847,06079
2019,1.090964684,0.007056607,351.4297508,142.6866085,06079
2020,1.048678057,0.007535247,263.2312446,175.9553246,06079
2010,0,0,0,162.0996236,06081
2011,0,0,0,161.3094802,06081
2012,0,0,0,146.5900653,06081
2013,1.192272309,0.001913436,146.6320147,138.8631401,06081
2014,0,0,0,152.9663184,06081
2015,0,0,0,144.0941995,06081
2016,0,0,0,153.5467353,06081
2017,1,4.49e-4,170,164.1940021,06081
2018,0,0,0,175.566668,06081
2019,0,0,0,155.687675,06081
2020,1.643684014,0.051852882,1699.345546,187.4689162,06081
2010,1,9.65e-4,254.7272727,137.8449632,06083
2011,1,0.00184179,218.4761905,137.6742726,06083
2012,1.116332117,0.003015651,398.1256843,129.1745221,06083
2013,1,0.001613071,421.0916844,127.6970143,06083
2014,1.235294118,0.001490973,315.4705882,132.5211837,06083
2015,1.571428571,0.00245572,667.017857,128.3641203,06083
2016,1.543319377,0.027764765,3786.533381,140.2647627,06083
2017,1.620426005,0.047052827,4075.579568,142.0673209,06083
2018,1.094339623,0.004648326,800.0943396,138.9469094,06083
2019,1.026315789,0.006665525,1651.065789,135.9497195,06083
2020,1,0.001912641,295.8448121,157.7166989,06083
2010,1,0.003305065,607.6153846,131.8689851,06085
2011,1,2.54e-4,181,134.7792675,06085
2012,1,2.54e-4,75,129.4754283,06085
2013,1,0.001525415,58.66666667,123.288945,06085
2014,1,5.08e-4,152,134.0770912,06085
2015,1,4.45e-4,89.0067265,129.1552158,06085
2016,1.633704735,0.010737722,636.8480966,150.2549536,06085
2017,1,0.001016943,96.5,141.1584234,06085
2018,1,5.08e-4,105.5,150.7535373,06085
2019,1,0.001525415,167,131.3751852,06085
2020,1.470676079,0.195616975,2116.878707,182.8211903,06085
2010,1,0.003827474,290.4285714,156.5258958,06087
2011,1,1.16e-4,88,161.3370138,06087
2012,1,0.004882442,305.9064559,150.7986639,06087
2013,1.031463748,0.003134884,82.80916553,141.8601364,06087
2014,0,0,0,150.1293989,06087
2015,1,0.006014602,230.272727,142.4224852,06087
2016,1.187103988,0.005753005,283.3407877,164.6816572,06087
2017,0,0,0,159.7245903,06087
2018,1,0.002187128,1065.5,164.4181182,06087
2019,0,0,0,152.9729983,06087
2020,1.28837128,0.171779615,4537.81116,194.4514334,06087
2010,1.063613685,0.003798007,194.2143175,121.9424606,06089
2011,1.033103985,0.002606562,236.4268467,124.5009146,06089
2012,2.34239348,0.052399911,1198.016014,156.9409113,06089
2013,1.039803325,0.004335697,506.9822056,113.9494219,06089
2014,1.447004199,0.049557835,6933.839778,123.3245309,06089
2015,1.226371776,0.004421646,423.819609,153.1468657,06089
2016,1.128451279,0.003983103,335.7267012,120.915373,06089
2017,1.475081509,0.00290603,391.7434211,167.39865,06089
2018,2.299192505,0.147543308,2246.859981,235.3778867,06089
2019,1.067146493,0.003855194,703.26547,115.9784852,06089
2020,1.19269014,0.031579902,1169.320016,205.3757076,06089
